ENTIDAD,Poblacion
AGUASCALIENTES,1453452
BAJA CALIFORNIA,3690160
BAJA CALIFORNIA SUR,821059
CAMPECHE,1017011
COAHUILA,3261259
COLIMA,797245
CHIAPAS,5812375
CHIHUAHUA,3836506
CIUDAD DE MEXICO,9003827
DURANGO,1884622
GUANAJUATO,6280645
GUERRERO,3668973
HIDALGO,3121355
JALISCO,8490806
MEXICO,17603429
MICHOACAN,4857777
MORELOS,2065014
NAYARIT,1306145
NUEVO LEON,5685888
OAXACA,4165619
PUEBLA,6664764
QUERETARO,2319537
QUINTANA ROO,1761389
SAN LUIS POTOSI,2885705
SINALOA,3181609
SONORA,3111119
TABASCO,2599658
TAMAULIPAS,3679623
TLAXCALA,1395545
VERACRUZ,8588469
YUCATAN,2283943
ZACATECAS,1677911